Word,ValenceMean,ValenceSD,%ValenceRaters ,ArousalMean,ArousalSD,%ArousalRaters
burra,5.5,1.61,100,4.9,1.07,100
burro,5.15,1.87,100,4.9,1.55,100
bursátil,4.94,1.7,90,5.42,1.51,60
bus,4.65,1.23,100,5.5,1.5,100
busca,5.05,1.05,100,5.7,1.34,100
buscada,5,1.34,100,5.15,1.73,100
buscador,6.35,1.57,100,4.95,1.61,100
buscar,5.2,1.2,100,5.8,1.01,100
buscarla,5.55,1.23,100,6,1.75,100
búsqueda,6.1,1.21,100,5.4,1.43,100
busto,5.68,0.95,95,4.45,1.1,100
butaca,6.35,1.42,100,3.9,1.45,100
butacón,5.68,1,95,3.42,1.77,95
butanero,4.95,0.39,100,4.65,1.04,100
butano,4.4,0.82,100,5.6,2.01,100
buzón,5.25,0.55,100,4.5,1.28,100
byte,5.5,1.1,100,4.78,1.17,90
cabal,6,1.8,85,4.13,1.36,75
cabalgar,6.25,1.92,100,5.05,2.26,100
cabalgata,6,1.41,100,5.6,1.96,100
caballa,5.11,1.49,95,4.32,1.42,95
caballería,5.5,0.76,100,5.3,1.03,100
caballero,6.2,1.15,100,5.1,2.02,100
caballito,6.5,1.36,100,3.55,1.54,100
caballo,6.63,1.53,100,5.4,2.09,100
cabaña,6.4,1.05,100,3.3,2.23,100
cabaret,6.55,1.67,100,5.9,1.65,100
cabecera,6.05,1.23,100,3.9,2.1,100
cabecilla,4.15,1.73,100,5.7,1.03,100
cabecita,6.2,1.24,100,4.05,1.5,100
cabellera,5.6,1.47,100,4.75,1.33,100
cabello,6.65,1.04,100,4.45,1.93,100
caber,5.4,0.75,100,4.32,1.45,95
cabeza,5.95,1.28,100,5.05,0.94,100
cabezazo,3.8,1.47,100,6.65,1.27,100
cabida,5.8,1.64,100,4.82,0.39,85
cabildo*,4.73,1.01,55,5,0,30
cabina,5.1,0.79,100,4.6,1.31,100
cable,5.1,0.38,100,4.98,1,100
cabo,5.65,1.04,100,4.45,1.19,100
cabotaje*,5.6,1.34,25,5.73,1.27,55
cabra,5.9,1.41,100,4.7,1.38,100
cabría,4.95,0.69,100,5.5,0.89,100
cabrito,5.75,1.02,100,5.55,1,100
cabrón,2.75,1.59,100,6.75,1.94,100
cacao,7.8,1.28,100,4.4,1.98,100
cacatúa,5.8,1.64,100,5.45,1.76,100
cacería,2.85,1.53,100,7.1,1.41,100
cacerola,4.95,0.69,100,4.65,1.14,100
cachalote,5.53,1.62,85,5.71,1.21,85
caché,5.63,0.96,95,5.53,1.68,95
cachemir,6.12,1.11,85,4.5,1.63,80
cachorro,7.65,1.44,100,4.35,2.83,100
cacique,3.75,1.52,100,6.21,1.36,95
cactus,5.7,1.66,100,5.1,1.86,100
cada,5.32,0.82,95,5.17,0.51,90
cadalso*,3.8,1.87,50,3.57,1.81,35
cadáver,1.73,0.99,100,7.9,1.48,100
cadena,5,0.97,100,5.65,1.18,100
cadencia,4.3,1.56,100,4.76,1.25,85
cadera,5.3,0.73,100,4.8,1.24,100
cadete,5.32,1,95,5.16,1.12,95
cadmio,4.64,0.63,70,4.64,1.08,70
caducidad,3.4,1.27,100,5.8,1.28,100
cae,4.2,1.15,100,5.75,1.21,100
caer,3.7,1.17,100,6.1,1.55,100
caeré,3,1.45,100,6.55,1.39,100
caería,3.85,1.57,100,5.8,2.04,100
café,6.45,1.28,100,6.75,1.45,100
cafeína,6.15,1.31,100,6.6,1.6,100
cafetera,6.8,1.54,100,5.25,1.55,100
cafetería,6.15,1.23,100,3.95,1.76,100
caída,2.9,1.58,100,6.9,0.96,100
caídos,3.65,1.57,100,5.75,1.55,100
caigo,3.5,1.4,100,5.45,1.88,100
caimán,4.45,1.67,100,6.2,2.02,100
caja,5.95,1.36,100,4.25,1.37,100
cajera,5.45,1,100,4.45,1.76,100
cajero,5.05,0.83,100,5.65,1.35,100
cajita,5.8,1.15,100,4.65,1.04,100
cajón,5.5,0.76,100,4,1.59,100
cajonera,5.45,0.83,100,4.1,1.62,100
cajonero,5,0.33,95,5.17,1.47,90
cajones,5.65,0.88,100,3.75,1.55,100
cal,4.42,1.07,95,4.55,1.39,100
cala,7.05,1.75,95,3.45,2.11,100
calabacín,5.6,2.14,100,4.45,1.43,100
calabaza,5.05,1.23,100,4.85,1.39,100
calabozo,2.1,1.02,100,7.05,1.79,100
calado,4.75,0.85,100,5.53,1.47,95
calamar,6.25,1.45,100,4.8,1.4,100
calamidad,2.63,1.71,95,6.05,1.67,100
calavera,2.6,1.82,100,7,1.17,100
calcetín,5.6,1.31,100,3.8,1.44,100
calcio,5.45,0.94,100,4.75,1.33,100
calculadora,4.85,1.53,100,4.75,1.8,100
calcular,5.15,1.09,100,5.7,1.78,100
cálculo,4.6,2.01,100,5.2,2.12,100
caldera,5.35,0.99,100,4.7,1.03,100
caldero,5.9,1.29,100,4.5,1.15,100
caldo,6.1,1.65,100,2.85,1.5,100
calefacción,6.9,1.48,100,3.6,2.11,100
calefactor,7,1.26,100,3.8,1.32,100
calendario,5.55,1.32,100,4.55,1.39,100
caléndula*,5.86,0.9,35,3.56,1.81,45
calentamiento,3.45,1.61,100,5.8,1.91,100
calentar,6.55,1.19,100,5.25,2.12,100
calibrar,5.3,1.13,100,5.1,0.91,100
calibre,4.95,1.03,95,5.35,1.31,100
calidad,7.33,0.92,100,4.75,1.84,100
caliente,6.65,0.93,100,5.2,2.19,100
califa,4.75,0.45,80,5.35,1.04,100
califato,4.37,1.46,95,5.2,1.54,100
calificación,5.55,1.32,100,7.35,1.14,100
calificar,5,1.38,100,6.4,1.47,100
calificativo,4.9,0.85,100,5.35,1.5,100
californiana,5.6,1.31,100,5,2,100
caligrafía,5.6,1.27,100,4.05,1.47,95
calima,4.4,1.43,50,5.2,1.15,75
calimocho,5.3,1.98,100,5.8,2.07,100
cáliz,5.15,1.31,100,5.1,1.48,100
caliza,5.2,1.24,100,4.05,1.43,95
calla,4.2,1.4,100,4.95,1.39,100
callado,4.26,1.33,97.5,3.53,1.78,100
callar,3.25,1.33,100,4.35,1.95,100
calle,6.08,1.35,100,5.05,1.41,100
calleja,5.5,1.1,90,4.47,1.31,95
callejera,3.5,1.43,100,5.5,1.54,100
callejón,3.9,1.21,100,6.48,1.57,100
calma,7.45,1.1,100,2.35,1.87,100
calmar,6.1,1.59,100,2.63,1.76,100
calmo,5.61,1.09,90,3.21,1.58,95
calor,6.33,1.87,100,5.75,1.93,100
calumnia,2.7,1.42,100,6.7,1.22,100
calumniar,2.89,1.6,90,6.22,1.66,90
calva,3.95,1.23,100,5.55,1.54,100
calvario,2.3,1.08,100,6.7,1.84,100
calvo,3.8,1.44,100,4.75,1.41,100
calzada,4.85,0.49,100,4.3,1.53,100
calzado,6.2,1.4,100,4.15,1.73,100
calzador,4.95,0.52,95,4.25,1.25,100
calzas,5,0.67,95,4.84,0.96,95
calzón,5.22,0.43,90,5.3,1.03,100
calzona,4.9,0.32,50,4.94,1.57,80
calzoncillos,5.4,1.14,100,5.4,1.27,100
cama,7.98,1.25,100,2.88,2.46,100
camaleón,6.3,1.49,100,4.95,1.9,100
cámara,6.55,1.43,100,4.6,1.85,100
camarada,5.8,1.28,100,5.05,1.76,100
camarera,6,1.41,100,4.8,0.89,100
camarero,5.3,1.34,100,5.65,0.93,100
camarote,6.35,1.18,100,4.85,1.66,100
cambiante,4.5,2.09,100,6.2,1.11,100
cambiar,6.3,1.84,100,5.9,1.52,100
cambio,6,1.56,100,5.95,1.76,100
camboyano,5,0,85,5.35,0.81,100
camelia,5.86,1.23,70,4,1.6,60
camello,4.9,1.59,100,5,2.03,100
camilla,4.1,1.25,100,5.05,1.73,100
caminar,7,1.49,100,4.5,1.7,100
caminata,5.35,1.9,100,4.55,1.85,100
camino,6,1.26,100,3.85,1.66,100
camión,4.78,0.66,100,5.4,1.22,100
camionero,5,1.17,100,5.15,1.14,100
camioneta,5.6,1.05,100,5,1.49,100
camisa,5.9,1.07,100,4.4,1.7,100
camiseta,5.7,0.86,100,4.3,1.42,100
camisola,5.95,1.13,95,4.16,2.03,95
camisón,5.85,0.88,100,4,2.15,100
campa,5.13,0.5,80,4.69,0.95,65
campamento,6.85,1.42,100,5.7,2.05,100
campana,5.3,1.03,100,4.55,1.19,100
campaña,5.65,1.18,100,5.4,0.94,100
campanario,5.75,1.33,100,5.5,1.36,100
campanilla,5.9,1.02,100,4.85,1.46,100
campeón,7.15,1.14,100,6.3,2.39,100
campeona,8.3,0.92,100,6.35,1.84,100
campeonato,6.05,1.19,100,6.7,1.26,100
campera,5.1,1.25,100,4.05,1.51,95
campesinado,5.3,1.34,100,4.75,1.25,100
campesino,5.6,1.47,100,4.45,1.15,100
campestre,6.4,1.05,100,3.55,2.01,100
campiña,5.29,0.91,70,4.13,1.36,80
camping,7,1.21,100,4.3,2.05,100
campo,7.35,1.46,100,3.5,1.93,100
camposanto,4.15,1.46,100,4.63,1.77,95
camuflaje,5,0.46,100,5.45,1.96,100
can*,6.43,1.65,70,4.22,1.86,45
caña,6.15,1.5,100,4.9,1.83,100
cañada,5.25,0.91,100,4.58,1.5,95
canadiense,5.6,1.27,100,4.65,0.93,100
canal,5.3,0.92,100,4.6,1.14,100
canalización,4.95,0.76,100,4.3,1.34,100
canalizar,5.65,1.04,100,4.7,1.45,100
canalla,3.74,1.73,95,6.55,2.01,100
canalón,5.75,1.83,100,4.5,0.86,90
cáñamo,5.38,0.62,80,5.32,1.29,95
canapé,6.05,1.5,100,4.8,0.95,100
canario,6.85,1.53,100,4.45,2.19,100
canasta,5.8,1.15,100,5.3,1.49,100
canasto,5.5,0.89,100,4.45,1.5,100
cancán,5.79,1.03,95,5.21,1.65,95
cancela,2.47,1.35,95,5.55,1.73,100
cancelación,3,1.41,100,6.6,1.23,100
cancelar,3.2,1.24,100,5.8,1.4,100
cáncer,1.23,0.73,100,7.8,1.24,100
cancha,6,1.12,100,5.45,1.28,100
canciller,3.39,1.46,90,5.42,1.61,95
cancillería,4.65,0.7,85,5.47,1.42,85
canción,7.75,1.19,100,5.05,2.66,100
cancionero,6.3,1.3,100,4.4,1.43,100
candado,4.55,1.23,100,4.7,1.69,100
candente,4.33,1.23,75,5.83,1.29,90
cándida,5.44,1.54,90,4.7,1.45,100
candidata,5.5,0.76,100,5.5,1,100
candidato,5.75,1.33,100,5.8,1.32,100
candidatura,4.45,1.47,100,5.6,1.39,100
candidez,6,1.41,95,4.47,1.46,85
candor,5.73,1.42,55,4.82,1.94,55
canela,6.6,1.7,100,4.6,2.04,100
cangrejo,6.2,1.2,100,4.3,1.95,100
canguro,6.75,1.48,100,5.8,1.61,100
canibalismo,1.95,0.94,100,7.16,1.12,95
canica,6.6,1.5,100,4.7,1.69,100
canje*,5,0,40,5.36,0.81,55
caño,5.63,1.15,80,4.87,1.41,75
canoa,5.55,1.05,100,4.6,2.21,100
canon,5.2,1.77,100,5.26,1.85,95
cañón,3.45,1.61,100,6.6,1.46,100
canónico,4.89,1.08,90,4.89,1.05,95
canónigo,5.06,1.35,90,4.94,1.21,90
canonización,4.67,1.19,90,4.94,0.94,90
cansa,3.75,1.21,100,4.55,1.85,100
cansado,3.03,1.21,100,3.35,1.76,100
cansancio,2.95,1.36,100,3.85,1.95,100
cansar,3.1,1.37,100,4.65,2.16,100
cantábrica,6.1,0.91,100,4.8,1.88,100
cántabro,5.35,0.75,100,4.7,1.49,100
cantante,6.95,1.47,100,5.55,1.93,100
cantaor,5.8,1.64,100,5.05,1.79,100
cantar,6.95,1.32,100,5.6,2.33,100
cántaro,5.45,1.28,100,4.35,1.31,100
cantautor,6.6,1.31,100,4.45,2.11,100
cantautora,6.7,1.3,100,4.7,1.75,100
cante,6.35,1.31,100,4.68,1.42,95
cantera,4.8,0.62,100,4.95,1.32,100
cántico,6.25,0.91,100,4.6,1.39,100
cantidad,5.65,1.14,100,5.15,1.23,100
cantina,6.05,1.23,100,4.9,1.62,100
cantón,5.57,1.65,70,4.78,1.17,90
cantor,5.55,1.28,100,5.19,1.17,80
caoba,5.7,1.3,100,4.25,1.37,100
caos,3.13,1.44,100,7.75,1.13,100
caótica,3.45,1.19,100,7.1,1.37,100
capa,5.4,0.99,100,4.8,1.24,100
capacidad,6.4,1.23,100,5.1,1.48,100
capacitación,6.65,1.35,100,4.74,1.88,95
caparazón,4.8,1.54,100,5.15,1.27,100
capataz,4.9,1.12,100,5.5,1.64,100
capaz,7.35,1.23,100,5.38,1.99,100
capellán,4.07,1.33,75,4.88,2.13,80
capilla,4.5,1.36,100,4.25,1.33,100
capita,4.73,0.65,55,5.5,1.09,60
cápita,4.33,0.98,60,5.4,0.63,75
capital,5.15,0.37,100,5.8,0.95,100
capitalidad,4.94,1.3,90,5.3,1.34,100
capitalino,4.73,0.8,75,5.31,1.14,80
capitalismo,3.42,1.54,95,6.1,1.48,100
capitalista,3.55,1.32,100,5.45,1.85,100
capitalización,4.2,1.01,100,5.85,1.14,100
capitán,5.45,1.28,100,5.95,1.88,100
capitana,6.65,1.6,100,6.35,1.18,100
capitel,5.5,1.1,90,4.28,1.64,90
capitulación,5.55,1.19,100,5,1.26,100
capitular,5.35,0.81,100,4.42,1.46,95
capítulo,5.55,1.5,100,4.95,1.61,100
capoeira,6.2,1.15,100,6.05,1.96,95
capón,4.63,1.26,95,5.75,1.83,100
capote,4.7,1.53,100,5.45,1.82,100
capricho,6.08,1.9,100,6.3,1.42,100
caprichoso,3.95,1.85,100,6.25,1.12,100
caprino,5.82,1.66,55,4.33,1.61,60
cápsula,5.1,0.79,100,5.15,0.93,100
captación,5.25,0.79,100,5.25,1.21,100
captar,5.75,0.97,100,5.45,1.73,100
captura,4.45,1.39,100,6.1,2.05,100
capturar,4.4,1.9,100,6.1,1.77,100
capucha,5.45,0.89,100,4.9,1.07,100
capullo,4.05,2.33,100,6.15,1.46,100
caqui,5.35,1.46,100,4.15,1.42,100
cara,6.25,1.41,100,4.58,1.6,100
carabela,5.1,2.75,100,4.85,1.6,100
carabina,4.8,1.36,100,6.11,1.08,90
caracol,6.1,1.52,100,3.3,1.38,100
carácter,6.25,1.68,100,5.5,1.85,100
característica,5.35,0.81,100,4.9,1.21,100
característico,6.25,1.25,100,5.05,1.5,100
caracterización,5.85,0.99,100,4.85,1.14,100
caracterizar,5.9,1.07,100,5.4,0.75,100
carajo,4.5,1.54,100,5.05,1.61,100
caramba,5.84,1.12,95,5.45,1.61,100
caramelo,6.95,1.36,100,4.53,1.97,100
carátula,5.5,1.05,100,4.65,1.57,100
caravana,6.25,1.59,100,4.9,1.74,100
carbón,4.7,0.57,100,5.35,0.93,100
carbonato,5.05,0.52,95,4.7,1.45,100
carbono,4.7,0.66,100,5.6,1.31,100
carburante,4.6,0.82,100,5.65,1.18,100
carcajada,8.6,0.68,100,6.85,1.98,100
carcasa,5.15,0.49,100,4.25,1.21,100
cárcel,2.33,1.27,100,6.95,1.47,100
carcelero,3.35,1.42,100,6.65,1.31,100
cardenal,3.3,1.59,100,5.2,1.15,100
cardiaco,3.9,1.07,100,6.45,1.28,100
cardíaco,4.15,1.87,100,6.65,1.79,100
cardiovascular,4.45,0.94,100,6.35,1.14,100
cardiovasculares,3.75,1.65,100,6.1,1.74,100
cardo,4.42,1.22,95,5.4,1.27,100
carecer,3.1,1.17,100,6.55,1.19,100
carencia,3,1.49,100,5.95,1.43,100
carente,3.35,0.75,100,4.85,1.9,100
carestía,3.9,1.85,50,5.4,1.35,75
carga,3.3,1.66,100,6.15,1.18,100
cargador,6.2,1.61,100,4.7,1.38,100
cargamento,3.8,1.67,100,5.42,1.3,95
cargar,4.5,1.19,100,5.1,0.85,100
cargo,5.21,1.62,95,5.65,1.14,100
carguero,4.63,1.26,80,4.88,1.45,85
caribe,7.75,1.16,100,4.25,3.26,100
caribeña,6.85,1.57,100,4.9,2.05,100
caribeño,7.1,1.29,100,4.8,2.14,100
caricatura,6.05,1.19,100,4.55,1.57,100
caricia,8.5,0.83,100,4.1,3,100
caridad,6.4,2.01,100,4.55,1.76,100
caries,2.15,1.31,100,6.8,0.77,100
cariño,8.05,1.39,100,4.25,2.67,100
cariñoso,8.03,1.03,100,4,2.61,97.5
carioca,5.83,0.92,90,4.95,1.43,95
carisma,7.21,1.44,95,4.8,2.26,100
carismático,7.7,1.03,100,5.55,1.96,100
cariz*,5.22,0.67,45,4.5,2.32,50
carlista,4.9,0.64,100,5.3,1.08,100
carnal,6.4,1.31,100,6,1.17,100
carnaval,7.25,1.62,100,7.25,1.48,100
carne,6.95,1.39,100,5.05,1.1,100
carné,6.3,1.34,100,5.15,1.39,100
carnero,5.15,1.23,100,5.45,1,100
carnet,6.2,1.28,100,4.75,1.52,100
carnicería,4.85,2.06,100,5.75,1.8,100
carnicero,4.4,1.39,100,5.55,1.67,100
carpa,5.4,0.68,100,4.45,1.28,100
carpeta,5.25,0.55,100,4.32,1.67,95
carpintería,5.35,0.75,100,4.95,0.89,100
carpintero,5.25,0.44,100,5.25,0.97,100
carrera,5.6,1.57,100,6.25,1.33,100
carreras,4.95,1.36,100,7.1,1.17,100
carreta,5.15,0.67,100,4.95,1.36,100
carretera,5.3,1.34,100,5.8,1.71,100
carretero,4.75,0.55,100,4.8,1.28,100
carretilla,4.95,0.89,100,4.7,0.92,100
carretillo,5.26,1.41,95,4.74,1.24,95
carricoche,6.68,1.45,95,5.35,1.6,100
carril,5.1,0.45,100,4.85,1.27,100
carrito,5.6,0.99,100,4.65,1.57,100
carro,5.28,0.6,100,4.85,1.73,100
carrocería,5.45,1.15,100,4.7,1.22,100
carromato,4.94,1.26,90,5.05,0.91,95
carroña,2.95,1.32,100,5.9,1.41,97.5
carroza,5.9,1.41,100,5.5,1.43,100
carruaje,5.75,1.37,100,5.25,1.25,100
carta,6.75,1.28,100,4.7,1.6,100
cartel,5.5,0.76,100,4.65,1.39,100
cartera,6.05,1.28,100,5.2,1.4,100
cartero,5.25,0.55,100,4.9,1.45,100
cartesiano,4.89,0.74,95,5.21,0.92,95
cartílagos,5.05,0.69,100,5.25,1.59,100
cartilla,4.45,1.19,100,5.3,0.86,100
cartografía,5.2,1.01,100,4.37,1.16,95
cartón,5.15,0.49,100,4.35,1.39,100
cartucho,5.2,1.28,100,5.55,1.61,100
casa,7.55,1.61,100,3.3,1.95,100
casaca,5.24,1.6,85,5.13,1.46,75
casación,5.58,1.78,60,5.71,1.07,70
casamiento,6,1.95,100,5.7,2.18,100
casar,6.5,2.19,100,6.6,1.54,100
cascada,6.78,1.44,100,3.95,2.33,100
cáscara,5,1.17,100,4.75,0.72,100
casco,5.6,1.14,100,4.4,1.27,100
casera,6.3,1.87,100,4.6,1.5,100
caserío,6.05,1.05,100,4.35,1.5,100
caserón,6.26,1.79,95,4.7,1.72,100
caseta,5.8,1.11,100,4.2,1.88,100
casete,6,1.05,95,4.47,1.22,95
casi,4.25,1.21,100,6.15,1.63,100
casilla,5.05,0.51,100,4.55,1.19,100
casino,5.2,1.56,100,5.6,1.43,100
casita,6.55,1.36,100,2.95,1.83,100
caso,5.65,0.99,100,5.7,1.17,100
casona,5.68,0.89,95,3.72,1.81,90
cassette,6.05,1.05,100,4.9,1.02,100
casta,4,1.69,100,5.32,0.95,95
castaño,6.05,1.15,100,4.55,1.32,100
castañuelas,5.7,1.69,100,5.6,0.94,100
castellana,6.15,1.27,100,5.05,1.05,100
castellano,6.8,1.47,100,4.75,1.55,100
castidad,3.45,1.73,100,5.4,2.14,100
castigar,2.15,0.99,100,7.2,1.06,100
castigo,2.33,1.16,100,7.33,0.97,100
castilla,5.9,1.07,100,4.42,1.43,95
castillo,6.55,1.5,100,4.75,2.12,100
casto,5.47,1.22,95,4.68,1.45,95
castración,3.05,1.36,100,6.95,1.5,100
castrense,3.77,1.83,65,5.31,1.14,80
casual,5.9,1.07,100,4.3,1.17,100
casualidad,6.95,1.39,100,5.55,2.06,100
cata,6.71,1.31,85,4.45,1.28,100
cataclismo,2.94,1.43,85,6.94,1.89,85
catacumbas,3.71,1.53,85,6.45,1.64,100
catalán,4.2,1.28,100,5.05,2.11,100
catalana,5.45,1.47,100,5.85,1.23,100
catalizador,5.17,1.2,90,5.2,1.15,100
catalogación,4.9,0.64,100,5.3,0.8,100
catalogar,4.55,0.76,100,4.75,1.48,100
catálogo,6.45,1.76,100,4.5,1.36,100
catamarán,6.41,1.54,85,5.5,1.21,80
catana,3.45,1.85,100,6.84,1.21,95
catapulta,3.75,1.8,100,6.3,1.42,100
catarata,5.55,1.93,100,5.35,2.43,100
catarro,3.3,1.38,100,6.15,1.57,100
catastral,4.3,1.06,50,5.5,1.9,80
catástrofe,1.5,0.89,100,7.7,1.3,100
catastrófica,2.05,1.1,100,7.7,1.22,100
catecismo,3.95,1.61,95,4.67,1.78,90
cátedra,6.45,1.47,100,4.65,1.93,100
catedral,6.1,1.59,100,3.9,1.41,100
catedrático,6.5,1.54,100,5.05,1.54,100
categoría,5.15,0.81,100,4.9,0.45,100
categórico,5.35,0.81,100,5,0.65,100
catequista,4.21,1.62,95,5.1,2,100
católica,4.6,2.11,100,4.75,1.59,100
catolicismo,4.1,2.02,100,5.1,1.77,100
católico,4.55,1.79,100,4.85,1.35,100
catre,4.65,2.06,85,4.79,1.55,95
cauce,5.85,1.04,100,4.7,1.3,100
caucho,5.1,0.55,100,4.5,1.1,100
caudal,5.55,1.15,100,4.65,1.69,100
caudaloso,5.75,1.41,100,5.8,1.85,100
caudillo,3.5,1.7,100,6.85,1.98,100
causa,5.65,1.14,100,5.6,1.64,100
causal,5.45,1,100,5.05,1.23,100
causalidad,6,1.45,100,5,1.69,100
causante,4.4,1.23,100,5.85,1.14,100
causar,5.1,1.41,100,5.55,0.76,100
cautela,5.26,1.15,95,4.2,1.91,100
cautelar,4.79,0.63,95,4.45,1.67,100
cauteloso,6.05,1.5,100,3.65,2.01,100
cautivar,6.45,1.76,100,5.75,1.94,100
cautiverio,2.35,1.46,100,7.1,1.21,100
cautividad,3.75,2.1,100,6.95,1.32,100
cautivo,4.4,2.06,100,5.8,1.79,100
cauto,5.55,1.93,100,3.9,2.07,100
cava,5.8,1.2,100,5.4,1.19,100
cavar,4.15,1.18,100,5.55,1.64,100
caverna,4.15,1.09,100,5.2,1.54,100
cavidad,4.9,0.72,100,4.95,1.43,100
cayena,5.43,1.87,70,6.08,1.32,65
caza,2.75,1.62,100,6.65,2.18,100
cazador,3.6,1.67,100,7.1,1.83,100
cazadora,5.95,1.23,100,4.55,1.99,100
cazar,3.3,1.45,100,7.1,1.62,100
cazo,5.1,1.52,100,4.95,1.57,100
cazón,5,0.65,75,5,1.26,80
cazuela,5.7,1.26,100,4.1,1.37,100
cebada,5.05,1.23,100,4.45,1.23,100
cebo,4.5,1.05,100,4.85,1.53,100
cebolla,4.55,1.43,100,6,1.26,100
cebolleta,5.1,0.97,100,5.55,1.1,100
cebra,6.45,1.28,100,4.6,1.31,100
ceca*,5,0,20,4.71,0.76,35
ceda,5.42,0.84,95,4.35,1.18,100
ceder,5.26,1.73,95,4.55,1.15,100
cedro,5.11,1.45,95,4.23,1.69,65
cédula,5.25,0.62,60,4.75,1.29,60
cefalea,2.8,1.24,100,6.58,1.35,95
ceguera,2.75,1.33,100,6.95,1.39,100
cejas,5.85,1.27,100,4.3,1.59,100
celador,5.25,1.41,100,5.5,1.85,100
celda,2.25,1.16,100,6.35,1.87,100
celebración,7.75,1.25,100,6.5,2.46,100
celebrar,7.9,0.91,100,7.75,0.97,100
célebre,6.35,1.23,100,5.4,1.67,100
celebridad,6.9,1.55,100,5.6,1.47,100
celeridad,5.58,1.24,60,5.29,1.27,70
celeste,7.2,1.47,100,3.45,2.09,100
celibato,3.53,1.28,85,5.76,1.89,85
celo,3.4,2.44,100,6.1,1.37,100
celos,2.05,1.04,100,7.85,1.04,100
celoso,2.05,1.1,100,7.8,1.44,100
célula,6.08,1.38,100,4.93,1.47,100
celular,5.95,1.19,100,5.45,1.57,100
celuloide,5.21,0.85,95,5.06,0.75,85
celulosa,5.7,1.17,100,4.74,1.52,95
cementerio,1.73,0.91,100,6.03,2.35,100
cemento,4.4,1.5,100,4.9,0.97,100
cena,7.48,1.34,100,4.55,2.15,100
cenar,6.75,1.41,100,3.65,1.63,100
cencerro,5.37,1.12,95,5.05,1.43,95
ceñir,5,1.3,100,5.25,1.74,100
cenit*,4.9,0.88,50,4.83,0.41,30
ceniza,2.85,1.14,100,5.35,2.3,100
ceño,4.42,1.02,95,5.32,1.38,95
censo,4.84,0.76,95,5.35,1.09,100
censura,2.6,1.14,100,6.35,1.98,100
censurar,3.4,1.19,100,6.3,1.42,100
centavo,5.3,0.92,100,4.65,1.84,100
centenar,5.3,0.57,100,5.15,0.88,100
centenares,5.35,0.81,100,5.6,1.6,100
centenario,6.25,1.48,100,5.85,1.23,100
centenas,4.9,0.79,100,4.1,1.68,100
centeno,5.1,1.21,100,5.47,1.81,95
centésima,5.25,0.97,100,5.35,0.99,100
centímetro,5,0.56,100,4.95,0.39,100
céntimos,5.05,1.39,100,4.7,1.17,100
centinela,4.94,1.29,80,4.83,1.58,90
central,5.25,0.91,100,4.8,1.32,100
centralismo,5.05,0.83,100,4.55,1.67,100
centralista,4.4,1.23,100,5.05,1.08,95
centralización,5,0.67,95,5.1,1.07,100
centrar,5.7,1.08,100,5,1.45,100
céntrica,6.25,1.77,100,5.1,1.25,100
centrista,5.21,1.36,95,5.1,1.29,100
centro,5.35,0.67,100,4.9,0.97,100
centroamericano,5.15,0.93,100,4.75,1.68,100
centrocampista,5.35,1.04,100,5.1,1.33,100
centuria,5,0,65,4.92,1.26,65
cepa,4.9,0.91,100,5.21,1.51,95
cepillo,5.4,0.99,100,4.15,1.35,100
cera,5,1.17,100,5.25,1.02,100
cerámica,5.25,0.97,100,4.35,1.04,100
cerca,6.25,1.07,100,4.3,1.38,100
cercanía,6.85,1.27,100,3.6,2.44,100
cercano,7.35,1.14,100,4.05,1.9,100
cerciorar,6,1.46,85,5.59,2.03,85
cerco,4.6,0.99,100,4.47,1.93,95
cerda,4.5,1.93,100,5.5,1.43,100
cerdo,4.8,1.36,100,5.48,1.2,100
cereal,6,1.17,100,4.45,1.32,100
cerebelo,5.8,1.24,100,4.6,1.82,100
cerebral,5.35,1.63,100,5.9,1.59,100
cerebro,5.5,1.32,100,5.85,1.66,100
ceremonia,7.3,1.81,100,5.55,1.96,100
ceremonial,5.7,1.22,100,5.3,2,100
cerezas,6.6,1.54,100,4.45,2.01,100
cerezo,6.4,1.39,100,3.5,1.54,100
cernícalo,4.46,1.2,65,5.36,1.01,70
cero,4.1,1.59,100,4.55,1.57,100
cerrada,3.75,1.07,100,5,1.21,100
cerrado,3.45,1.15,100,5.3,1.69,100
cerradura,4.95,0.83,100,5.2,1.06,100
cerrajero,5.15,0.59,100,5.1,0.72,100
cerrar,3.45,1.15,100,4.5,1.79,100
cerraré,4.65,0.59,100,5.75,1.55,100
cerraría,4.4,1.14,100,5.2,1.44,100
cerro,5.17,1.04,90,4.62,1.19,65
cerrojo,4.85,0.99,100,5.25,1.68,100
certamen,5.4,0.5,100,5.2,1.06,100
certero,5.74,0.99,95,4.47,1.5,95
certeza,7.05,1.23,100,4.25,1.94,100
certidumbre,5.5,1.64,100,3.85,1.66,100
certificación,5.7,1.03,100,5.9,1.68,100
certificado,5.75,1.21,100,4.85,1.79,100
certificar,5.8,1.28,100,4.85,1.27,100
cerveza,7,1.78,100,6,1.78,100
cervical,4.45,1.05,100,5.4,1.27,100
cesar,4.95,1.05,100,4.1,1.77,100
césar,4.95,1.43,100,4.95,0.97,95
cese,4.5,1,100,4.45,1.99,100
cesio*,5,0.5,45,5.33,0.71,45
cesión,4.79,1.18,95,4.21,1.51,95
césped,7.2,1.32,100,3.1,1.55,100
cesta,5.63,0.93,100,4.15,1.33,100
